Geneid,CM_in vitro_1,CM_in vitro_2,CM_in vitro_3,CM_0dpi_1,CM_0dpi_2,CM_0dpi_3,CM_1dpi_1,CM_1dpi_2,CM_1dpi_3,CM_3dpi_1,CM_3dpi_2,CM_3dpi_3,CM_6dpi_1,CM_6dpi_2,CM_6dpi_3
KAF2211302,598.915088,575.779758,503.217306,933.143719,1908.415157,1010.009191,1550.373175,2651.661796,1416.24905,1662.50794,2196.722536,1110.613926,2549.243122,3107.825625,3776.942081
KAF2211303,841.722547,772.33257,533.425046,1424.941221,1133.305001,899.68511,1446.787802,2414.508044,1261.551077,1235.64475,1713.393137,1549.90445,1540.891406,1985.208682,1934.52068
KAF2211304,3.447859,4.595254,1.346347,0,0,0,0,0,0,0,0,0,12.068385,0,0
KAF2211305,0.228497,1.48462,1.427606,0,0,0,0,0,0,0,0,0,20.794756,0,0
KAF2211306,0,0.106513,0,0,0,0,141.543057,0,0,0,0,0,0,0,0
KAF2211307,345.025087,514.904957,770.500569,378.354491,0,0,314.308847,0,0,89.029976,186.113894,0,154.049386,200.683511,216.458516
KAF2211308,271.258439,288.603174,200.313996,111.430678,212.699206,70.355549,61.712228,98.512171,49.326769,17.48038,18.271046,46.418104,53.663079,34.821017,54.642903
KAF2211309,296.721647,288.722565,259.856921,60.253174,86.258577,399.450356,0,0,40.008206,18.904101,0,0,26.906563,18.580795,29.546696
KAF2211310,384.674942,359.517347,346.471095,0,736.64825,0,0,0,0,100.900639,0,107.174244,47.308069,69.819194,42.054797
KAF2211311,139.727487,116.280811,75.583751,0,143.502906,47.467153,83.271435,0,0,31.44955,0,0,28.964124,20.401712,30.039141
KAF2211312,251.978454,220.781062,86.282263,0,0,59.868481,0,83.828129,0,29.749574,15.547598,39.499107,58.118021,41.326974,49.942225
KAF2211313,69.923712,75.915838,187.793377,67.292342,0,0,447.211891,267.709186,134.046676,591.152829,248.260032,154.173934,162.62333,105.417741,141.160392
KAF2211314,295.73727,295.316458,309.956891,174.427833,124.855636,330.392837,72.450853,0,0,129.973705,42.90083,0,13.745686,26.894913,14.255864
KAF2211315,8.890322,8.053101,13.746405,0,0,0,0,0,0,0,26.927117,0,14.379352,8.778042,14.913049
KAF2211316,55.544182,56.385915,60.285836,0,0,0,187.48247,299.281127,449.565899,486.801329,749.353308,564.074968,450.553043,345.198565,242.860307
KAF2211317,34.6554,33.12698,37.827568,0,274.86875,0,0,509.224604,127.488837,30.119594,141.668785,0,50.435042,97.102678,104.613924
KAF2211318,41.083197,35.069488,38.835226,0,203.493992,0,0,188.497505,0,78.044693,69.921242,59.212289,44.80638,89.42187,123.918372
KAF2211319,536.260177,557.265187,419.422039,885.903198,1268.260976,839.017678,1655.871001,1762.194755,735.301471,1216.01918,1416.281336,738.072268,2108.937305,2277.069177,2353.137875
KAF2211320,0.328487,0.533572,0.247378,0,0,0,0,0,0,0,0,0,0,0,1.660932
KAF2211321,1.511686,0.900342,0.973987,0,0,0,0,0,0,0,0,0,0,0,0
